"Estado","TipoDelito","SubtipoDelito","Modalidad","BienJuridicoAfectado","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre"
"San Luis Potosí","Robo","Robo de ganado","Sin violencia","El patrimonio",38,24,13,11,16,16,20,15,13,17,18,18
"San Luis Potosí","Robo","Robo de maquinaria","Robo de herramienta industrial o agrícola Con violencia","El patrimonio",1,0,0,0,0,0,0,0,0,1,0,1
"San Luis Potosí","Robo","Robo de maquinaria","Robo de herramienta industrial o agrícola Sin violencia","El patrimonio",3,7,3,4,4,5,1,6,2,4,4,4
"San Luis Potosí","Robo","Robo de maquinaria","Robo de tractores Con violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"San Luis Potosí","Robo","Robo de maquinaria","Robo de tractores Sin violencia","El patrimonio",0,0,0,0,0,0,0,0,0,0,0,0
"San Luis Potosí","Robo","Robo de maquinaria","Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia","El patrimonio",0,0,0,0,0,1,0,0,0,1,1,0
"San Luis Potosí","Robo","Robo de maquinaria","Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia","El patrimonio",0,6,1,4,3,0,4,1,5,11,5,8
"San Luis Potosí","Robo","Otros robos","Con violencia","El patrimonio",82,62,74,39,36,57,70,56,72,56,58,79
"San Luis Potosí","Robo","Otros robos","Sin violencia","El patrimonio",397,306,316,165,207,252,327,234,304,301,283,314
"San Luis Potosí","Fraude","Fraude","Fraude","El patrimonio",189,200,147,50,110,147,212,177,177,208,177,167
"San Luis Potosí","Abuso de confianza","Abuso de confianza","Abuso de confianza","El patrimonio",76,65,52,21,27,46,108,57,68,80,68,49
"San Luis Potosí","Extorsión","Extorsión","Extorsión","El patrimonio",14,12,15,10,11,15,13,12,12,11,18,8
"San Luis Potosí","Daño a la propiedad","Daño a la propiedad","Daño a la propiedad","El patrimonio",487,432,397,175,219,393,439,343,335,411,393,408
"San Luis Potosí","Despojo","Despojo","Despojo","El patrimonio",67,70,49,12,26,64,93,51,50,56,47,50
"San Luis Potosí","Otros delitos contra el patrimonio","Otros delitos contra el patrimonio","Otros delitos contra el patrimonio","El patrimonio",78,82,50,66,83,112,159,97,158,110,145,152
"San Luis Potosí","Violencia familiar","Violencia familiar","Violencia familiar","La familia",604,639,703,586,606,713,756,576,680,698,641,579
"San Luis Potosí","Violencia de género en todas sus modalidades distinta a la violencia familiar","Violencia de género en todas sus modalidades distinta a la violencia familiar","Violencia de género en todas sus modalidades distinta a la violencia familiar","La familia",0,0,0,0,0,0,0,0,0,0,0,0
"San Luis Potosí","Incumplimiento de obligaciones de asistencia familiar","Incumplimiento de obligaciones de asistencia familiar","Incumplimiento de obligaciones de asistencia familiar","La familia",46,50,43,14,16,22,39,33,33,36,31,35
"San Luis Potosí","Otros delitos contra la familia","Otros delitos contra la familia","Otros delitos contra la familia","La familia",0,0,1,0,0,0,0,0,1,0,0,0
"San Luis Potosí","Corrupción de menores","Corrupción de menores","Corrupción de menores","La sociedad",1,10,4,2,2,3,0,2,2,4,2,2
"San Luis Potosí","Trata de personas","Trata de personas","Trata de personas","La sociedad",1,0,1,0,2,1,2,2,4,4,0,0
"San Luis Potosí","Otros delitos contra la sociedad","Otros delitos contra la sociedad","Otros delitos contra la sociedad","La sociedad",0,0,0,0,0,0,0,0,0,0,0,0
"San Luis Potosí","Narcomenudeo","Narcomenudeo","Narcomenudeo","Otros bienes jurídicos afectados (del fuero común)",117,92,119,135,135,105,119,145,117,114,69,90
"San Luis Potosí","Amenazas","Amenazas","Amenazas","Otros bienes jurídicos afectados (del fuero común)",220,271,232,165,218,280,319,218,264,257,220,216
"San Luis Potosí","Allanamiento de morada","Allanamiento de morada","Allanamiento de morada","Otros bienes jurídicos afectados (del fuero común)",37,39,47,40,45,44,37,44,32,43,46,29
"San Luis Potosí","Evasión de presos","Evasión de presos","Evasión de presos","Otros bienes jurídicos afectados (del fuero común)",1,1,0,1,0,0,0,0,0,1,0,0
"San Luis Potosí","Falsedad","Falsedad","Falsedad","Otros bienes jurídicos afectados (del fuero común)",0,0,0,0,0,0,0,0,0,0,0,0
"San Luis Potosí","Falsificación","Falsificación","Falsificación","Otros bienes jurídicos afectados (del fuero común)",12,4,10,3,4,8,13,3,9,8,15,5
"San Luis Potosí","Contra el medio ambiente","Contra el medio ambiente","Contra el medio ambiente","Otros bienes jurídicos afectados (del fuero común)",11,4,2,2,1,8,6,8,3,5,2,3
"San Luis Potosí","Delitos cometidos por servidores públicos","Delitos cometidos por servidores públicos","Delitos cometidos por servidores públicos","Otros bienes jurídicos afectados (del fuero común)",59,60,71,57,57,41,52,32,59,71,67,46
"San Luis Potosí","Electorales","Electorales","Electorales","Otros bienes jurídicos afectados (del fuero común)",0,0,1,0,0,0,0,0,0,0,0,4
"San Luis Potosí","Otros delitos del Fuero Común","Otros delitos del Fuero Común","Otros delitos del Fuero Común","Otros bienes jurídicos afectados (del fuero común)",202,210,201,112,115,199,203,217,189,235,200,176
"Sinaloa","Homicidio","Homicidio doloso","Con arma de fuego","La vida y la Integridad corporal",38,41,50,42,43,51,51,44,37,44,34,21
"Sinaloa","Homicidio","Homicidio doloso","Con arma blanca","La vida y la Integridad corporal",6,5,2,2,2,4,3,1,8,5,5,2
"Sinaloa","Homicidio","Homicidio doloso","Con otro elemento","La vida y la Integridad corporal",10,7,17,3,11,13,12,19,22,14,10,6
"Sinaloa","Homicidio","Homicidio doloso","No especificado","La vida y la Integridad corporal",0,0,0,4,0,2,3,1,2,1,1,1
"Sinaloa","Homicidio","Homicidio culposo","Con arma de fuego","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Sinaloa","Homicidio","Homicidio culposo","Con arma blanca","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
"Sinaloa","Homicidio","Homicidio culposo","En accidente de tránsito","La vida y la Integridad corporal",46,62,50,46,34,55,58,49,48,59,54,49
"Sinaloa","Homicidio","Homicidio culposo","Con otro elemento","La vida y la Integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0
